2023-09-07 11:24:51.713+00:00 | main | INFO  | Besu | Starting Besu
2023-09-07 11:24:52.153+00:00 | main | WARN  | Besu | --miner-coinbase and --min-gas-price has been ignored because --miner-enabled was not defined on the command line.
2023-09-07 11:24:52.386+00:00 | main | WARN  | Besu | --graphql-http-host has been ignored because --graphql-http-enabled was not defined on the command line.
2023-09-07 11:24:52.542+00:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 23.4.4                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file specified                                                           #
# Network Id: 1337                                                                                 #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ADMIN,IBFT,QBFT,CLIQUE,ETH,NET,TXPOOL,WEB3                                        #
# RPC HTTP port: 8545                                                                              #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 3.86 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.35                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 15.45 GB                                                                           #
# CPU cores: 12                                                                                    #
#                                                                                                  #
####################################################################################################
2023-09-07 11:24:52.542+00:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2023-09-07 11:24:52.543+00:00 | main | INFO  | Besu | Security Module: localfile
2023-09-07 11:24:52.599+00:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2023-09-07 11:24:52.702+00:00 | main | INFO  | Besu | Using the native implementation of modexp
2023-09-07 11:24:52.703+00:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2023-09-07 11:24:52.705+00:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2023-09-07 11:24:52.737+00:00 | main | INFO  | RocksDBKeyValueStorageFactory | No existing database detected at /opt/besu/data. Using version 1
2023-09-07 11:24:53.808+00:00 | main | INFO  | KeyPairUtil | Loaded public key 0xf476da6ce9ddea1a74ef40156b0caffb3d4188a54a933612b49dd80302c3cc1aeba741903a196016c5f4b1350953a807649bc183508b5bcf700322a783ee00bf from /opt/besu/data/key
2023-09-07 11:24:54.015+00:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [Berlin: 0]
2023-09-07 11:24:54.123+00:00 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2023-09-07 11:24:54.136+00:00 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2023-09-07 11:24:54.168+00:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2023-09-07 11:24:54.356+00:00 | main | INFO  | Runner | Starting external services ... 
2023-09-07 11:24:54.357+00:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8545
2023-09-07 11:24:54.533+00:00 | vert.x-eventloop-thread-1 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8545
2023-09-07 11:24:54.536+00:00 | main | INFO  | WebSocketService | Starting Websocket service on 0.0.0.0:8546
2023-09-07 11:24:54.539+00:00 | vert.x-eventloop-thread-1 | INFO  | WebSocketService | Websocket service started and listening on 0.0.0.0:8546
2023-09-07 11:24:54.542+00:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2023-09-07 11:24:54.542+00:00 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /opt/besu/data/caches
2023-09-07 11:24:54.552+00:00 | main | INFO  | Runner | Starting Ethereum main loop ... 
2023-09-07 11:24:54.552+00:00 | main | INFO  | NatService | No NAT environment detected so no service could be started
2023-09-07 11:24:54.552+00:00 | main | INFO  | NetworkRunner | Starting Network.
2023-09-07 11:24:54.563+00:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0.0.0.0:30303.
2023-09-07 11:24:54.563+00:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2023-09-07 11:24:54.576+00:00 | vert.x-eventloop-thread-1 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
2023-09-07 11:24:54.577+00:00 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /0.0.0.0:30303
